"ATG","BrOr1","BrOr2"
"AT1G75660","BraA02g24020R","BraA07g37400R"
"AT1G75680","BraA02g24040R","BraA07g37410R"
"AT1G75700","BraA02g24070R","BraA07g37430R"
"AT1G75720","BraA02g24090R","BraA07g37460R"
"AT1G75730","BraA02g24100R","BraA07g37470R"
"AT1G75760","BraA07g26090R","BraA07g37490R"
"AT1G75800","BraA02g24130R","BraA07g37530R"
"AT1G75810","BraA02g24140R","BraA07g37540R"
"AT1G75830","BraA07g26080R","BraA02g24150R"
"AT1G75850","BraA02g24180R","BraA07g37570R"
"AT1G75880","BraA07g26050R","BraA07g37590R"
"AT1G75980","BraA07g26030R","BraA07g37640R"
"AT1G76020","BraA02g24240R","BraA07g37660R"
"AT1G76060","BraA02g24250R","BraA07g37720R"
"AT1G76070","BraA02g24260R","BraA07g37730R"
"AT1G76080","BraA02g24290R","BraA07g37740R"
"AT1G76160","BraA02g24310R","BraA07g37820R"
"AT1G76185","BraA07g26000R","BraA02g24340R"
"AT1G76310","BraA07g25960R","BraA07g37980R"
"AT1G76350","BraA07g25930R","BraA07g38000R"
"AT1G76405","BraA07g25900R","BraA07g38060R"
"AT1G76420","BraA02g24530R","BraA07g38080R"
"AT1G76440","BraA07g25870R","BraA07g38120R"
"AT1G76490","BraA02g24550R","BraA07g38170R"
"AT1G76580","BraA02g24610R","BraA07g38250R"
"AT1G76590","BraA07g25830R","BraA07g38260R"
"AT1G76600","BraA07g25820R","BraA02g24620R"
"AT1G76650","BraA07g25800R","BraA07g38300R"
"AT1G76660","BraA07g25790R","BraA02g24660R"
"AT1G76770","BraA02g24700R","BraA07g38380R"
"AT1G76790","BraA07g25760R","BraA07g38390R"
"AT1G76800","BraA02g24720R","BraA07g38400R"
"AT1G76860","BraA02g24760R","BraA07g38410R"
"AT1G76900","BraA02g24810R","BraA07g38440R"
"AT1G76950","BraA07g25680R","BraA07g38490R"
"AT1G76952","BraA07g25670R","BraA07g38500R"
"AT1G76970","BraA07g25620R","BraA07g38520R"
"AT1G76980","BraA07g25610R","BraA07g38530R"
"AT1G76990","BraA07g25580R","BraA07g38540R"
"AT1G77000","BraA07g25570R","BraA07g38550R"
"AT1G77100","BraA02g24850R","BraA07g38590R"
"AT1G77140","BraA07g25410R","BraA02g24900R"
"AT1G77180","BraA02g24910R","BraA07g38660R"
"AT1G77240","BraA02g24950R","BraA07g38700R"
"AT1G77250","BraA07g25540R","BraA07g38710R"
"AT1G77310","BraA07g25530R","BraA02g24990R"
"AT1G77330","BraA07g25520R","BraA02g25000R"
"AT1G77420","BraA07g25500R","BraA02g25040R"
"AT1G77610","BraA07g25430R","BraA07g38880R"
"AT1G77690","BraA07g25380R","BraA02g25240R"
"AT1G77710","BraA07g25360R","BraA02g25280R"
"AT1G77765","BraA02g25330R","BraA07g38950R"
"AT1G77800","BraA02g25360R","BraA07g38970R"
"AT1G77850","BraA07g25300R","BraA07g39010R"
"AT1G77885","BraA07g25290R","BraA02g25380R"
"AT1G77920","BraA07g25270R","BraA07g39070R"
"AT1G78000","BraA02g25390R","BraA07g39130R"
"AT1G78090","BraA02g25450R","BraA07g39220R"
"AT1G78100","BraA02g25470R","BraA07g39230R"
"AT1G78120","BraA07g25210R","BraA07g39250R"
"AT1G78260","BraA07g25160R","BraA07g39350R"
"AT1G78280","BraA02g25590R","BraA07g39370R"
"AT1G78290","BraA07g25150R","BraA07g39380R"
"AT1G78310","BraA02g25610R","BraA07g39400R"
"AT1G78390","BraA02g25630R","BraA07g39450R"
"AT1G78590","BraA02g25760R","BraA07g39600R"
"AT1G78600","BraA07g25060R","BraA02g25770R"
"AT1G78630","BraA02g25800R","BraA07g39640R"
"AT1G78660","BraA02g25820R","BraA07g39670R"
"AT1G78700","BraA02g25850R","BraA07g39680R"
"AT1G78820","BraA07g25020R","BraA07g39740R"
"AT1G78850","BraA07g25010R","BraA07g39750R"
"AT1G78940","BraA02g25940R","BraA07g39820R"
"AT1G78990","BraA07g24940R","BraA07g39860R"
"AT1G79000","BraA02g25950R","BraA07g39870R"
"AT1G79020","BraA07g24920R","BraA02g25970R"
"AT1G79030","BraA07g24910R","BraA07g39880R"
"AT1G79150","BraA07g24860R","BraA07g39970R"
"AT1G79180","BraA07g24850R","BraA07g39990R"
"AT1G79210","BraA02g26110R","BraA07g40010R"
"AT1G79400","BraA02g26240R","BraA07g40130R"
"AT1G79480","BraA02g26280R","BraA07g40200R"
"AT1G79530","BraA07g24690R","BraA02g26310R"
"AT1G79570","BraA07g24660R","BraA07g40230R"
"AT1G79600","BraA07g24630R","BraA02g26420R"
"AT1G79630","BraA02g26440R","BraA07g40280R"
"AT1G79640","BraA07g24620R","BraA07g40290R"
"AT1G79660","BraA07g24610R","BraA07g40300R"
"AT1G79680","BraA07g24600R","BraA07g40320R"
"AT1G79940","BraA02g27270R","BraA07g24030R"
"AT1G79990","BraA02g27200R","BraA07g24060R"
"AT1G80120","BraA07g40920R","BraA02g27170R"
"AT1G80130","BraA07g40900R","BraA02g27160R"
"AT1G80150","BraA02g27120R","BraA07g24140R"
"AT1G80190","BraA02g27060R","BraA07g24170R"
"AT1G80240","BraA07g40880R","BraA07g24200R"
"AT1G80340","BraA07g40850R","BraA02g26970R"
"AT1G80380","BraA07g40820R","BraA02g26920R"
"AT1G80520","BraA07g40700R","BraA07g24330R"
"AT1G80530","BraA07g40680R","BraA07g24340R"
"AT1G80540","BraA07g40670R","BraA02g26830R"
"AT1G80610","BraA02g26710R","BraA07g24370R"
"AT1G80690","BraA07g40580R","BraA07g24420R"
"AT1G80750","BraA02g26610R","BraA07g24460R"
"AT1G80760","BraA07g40530R","BraA02g26600R"
"AT1G80770","BraA07g40520R","BraA07g24470R"
"AT1G80780","BraA07g40510R","BraA02g26550R"
"AT1G80790","BraA02g26570R","BraA07g24480R"
"AT1G80810","BraA07g40500R","BraA07g24490R"
"AT1G80900","BraA07g40430R","BraA02g26470R"
"AT2G01100","BraA02g35300R","BraA06g38740R"
"AT2G01110","BraA02g35310R","BraA06g38730R"
"AT2G01170","BraA02g35350R","BraA06g38690R"
"AT2G01180","BraA09g22890R","BraA06g38680R"
"AT2G01190","BraA09g22910R","BraA06g38670R"
"AT2G01290","BraA02g35530R","BraA06g38600R"
"AT2G01300","BraA09g22930R","BraA02g35540R"
"AT2G01340","BraA09g22970R","BraA06g38590R"
"AT2G01480","BraA02g35680R","BraA06g38470R"
"AT2G01490","BraA09g23030R","BraA02g35690R"
"AT2G01505","BraA09g23050R","BraA06g38450R"
"AT2G01570","BraA09g23110R","BraA06g38370R"
"AT2G01580","BraA09g23130R","BraA06g38360R"
"AT2G01670","BraA02g35840R","BraA06g38270R"
"AT2G01720","BraA02g35860R","BraA06g38240R"
"AT2G01770","BraA02g35910R","BraA06g38190R"
"AT2G01810","BraA02g35940R","BraA06g38180R"
"AT2G01818","BraA02g35950R","BraA06g38170R"
"AT2G01850","BraA02g36000R","BraA06g38130R"
"AT2G01880","BraA02g36030R","BraA06g38110R"
"AT2G01910","BraA02g36150R","BraA06g38080R"
"AT2G01913","BraA09g23240R","BraA06g38070R"
"AT2G01970","BraA09g23270R","BraA02g36180R"
"AT2G02010","BraA09g23290R","BraA02g36200R"
"AT2G02020","BraA09g23300R","BraA02g36210R"
"AT2G02040","BraA09g23310R","BraA06g38040R"
"AT2G02180","BraA09g23440R","BraA02g36310R"
"AT2G02240","BraA02g36340R","BraA06g37890R"
"AT2G02360","BraA02g36370R","BraA06g37880R"
"AT2G02370","BraA02g36390R","BraA06g37870R"
"AT2G02390","BraA09g23450R","BraA02g36400R"
"AT2G02470","BraA09g23470R","BraA06g37840R"
"AT2G02480","BraA02g36500R","BraA06g37830R"
"AT2G02560","BraA02g36570R","BraA06g37820R"
"AT2G02570","BraA02g36580R","BraA06g37810R"
"AT2G02590","BraA09g23480R","BraA06g37800R"
"AT2G02800","BraA02g36640R","BraA06g37720R"
"AT2G02850","BraA02g36670R","BraA06g37700R"
"AT2G02860","BraA02g36680R","BraA06g37690R"
"AT2G02990","BraA02g36760R","BraA06g37600R"
"AT2G03060","BraA09g23600R","BraA02g36770R"
"AT2G03070","BraA09g23620R","BraA06g37560R"
"AT2G03290","BraA02g36880R","BraA06g37480R"
"AT2G03350","BraA02g36930R","BraA06g37460R"
"AT2G03360","BraA09g23860R","BraA06g37450R"
"AT2G03440","BraA02g36940R","BraA06g37410R"
"AT2G03500","BraA02g36980R","BraA06g37360R"
"AT2G03670","BraA09g23960R","BraA06g37260R"
"AT2G03720","BraA09g24000R","BraA06g37220R"
"AT2G03730","BraA02g37060R","BraA06g37210R"
"AT2G05160","BraA03g41350R","BraA07g06710R"
"AT2G05840","BraA03g41630R","BraA07g06610R"
"AT2G12400","BraA03g41670R","BraA09g10670R"
"AT2G12646","BraA03g41710R","BraA09g10690R"
"AT2G13350","BraA03g41740R","BraA09g10720R"
"AT2G13360","BraA03g41730R","BraA09g10730R"
"AT2G13570","BraA03g41790R","BraA09g10770R"
"AT2G13790","BraA03g41840R","BraA07g06190R"
"AT2G14740","BraA03g42030R","BraA09g10820R"
"AT2G14750","BraA03g42040R","BraA09g10830R"
"AT2G15240","BraA09g11010R","BraA07g05780R"
"AT2G15290","BraA09g11020R","BraA07g05690R"
"AT2G15440","BraA03g43970R","BraA09g11090R"
"AT2G15530","BraA09g11100R","BraA07g05630R"
"AT2G15620","BraA09g11120R","BraA07g05530R"
"AT2G15690","BraA03g43880R","BraA07g05470R"
"AT2G15695","BraA03g43870R","BraA07g05460R"
"AT2G15730","BraA03g43860R","BraA07g05450R"
"AT2G15760","BraA09g11150R","BraA07g05430R"
"AT2G15860","BraA03g43820R","BraA07g05140R"
"AT2G15880","BraA03g43800R","BraA07g05110R"
"AT2G15890","BraA03g43790R","BraA07g05100R"
"AT2G15910","BraA03g43780R","BraA07g05070R"
"AT2G16070","BraA03g43750R","BraA07g04940R"
"AT2G16250","BraA03g43730R","BraA07g04830R"
"AT2G16280","BraA09g11210R","BraA07g04790R"
"AT2G16365","BraA03g43710R","BraA07g04780R"
"AT2G16630","BraA09g11310R","BraA07g04690R"
"AT2G16710","BraA03g43500R","BraA09g11340R"
"AT2G16730","BraA03g43460R","BraA07g04620R"
"AT2G16750","BraA09g11350R","BraA07g04570R"
"AT2G16890","BraA03g43400R","BraA07g04510R"
"AT2G16900","BraA03g43390R","BraA07g04500R"
"AT2G17010","BraA03g43270R","BraA07g04390R"
"AT2G17090","BraA03g43210R","BraA09g11460R"
"AT2G17120","BraA06g28890R","BraA07g04310R"
"AT2G17150","BraA06g28880R","BraA07g04270R"
"AT2G17200","BraA06g28870R","BraA09g11470R"
"AT2G17220","BraA09g11480R","BraA07g04220R"
"AT2G17240","BraA06g28860R","BraA07g04170R"
"AT2G17250","BraA09g11490R","BraA07g04160R"
"AT2G17270","BraA06g28830R","BraA07g04110R"
"AT2G17290","BraA06g28820R","BraA09g11510R"
"AT2G17350","BraA06g28790R","BraA07g04090R"
"AT2G17410","BraA09g11560R","BraA07g04010R"
"AT2G17420","BraA06g28750R","BraA09g11570R"
"AT2G17480","BraA09g11600R","BraA07g03920R"
"AT2G17500","BraA09g11610R","BraA07g03880R"
"AT2G17540","BraA06g28680R","BraA07g03860R"
"AT2G17550","BraA09g11630R","BraA07g03850R"
"AT2G17560","BraA09g11640R","BraA07g03830R"
"AT2G17620","BraA06g28580R","BraA09g11660R"
"AT2G17720","BraA06g28490R","BraA07g03730R"
"AT2G17730","BraA06g28450R","BraA07g03690R"
"AT2G17760","BraA06g28440R","BraA07g03640R"
"AT2G17800","BraA06g28430R","BraA07g03580R"
"AT2G17840","BraA06g28420R","BraA07g03530R"
"AT2G17845","BraA06g28400R","BraA07g03520R"
"AT2G17880","BraA06g28370R","BraA09g11900R"
"AT2G17890","BraA06g28350R","BraA07g03500R"
"AT2G17990","BraA06g28300R","BraA07g03380R"
"AT2G18040","BraA06g28260R","BraA07g03330R"
"AT2G18090","BraA09g11980R","BraA07g03290R"
"AT2G18130","BraA09g12000R","BraA07g03270R"
"AT2G18170","BraA09g12030R","BraA07g03230R"
"AT2G18193","BraA06g28220R","BraA09g12040R"
"AT2G18230","BraA09g12070R","BraA07g03210R"
"AT2G18245","BraA09g12080R","BraA07g03190R"
"AT2G18250","BraA09g12090R","BraA07g03180R"
"AT2G18328","BraA06g28170R","BraA07g03140R"
"AT2G18350","BraA09g12130R","BraA07g03120R"
"AT2G18380","BraA09g12150R","BraA07g03100R"
"AT2G18470","BraA09g12170R","BraA07g03010R"
"AT2G18500","BraA06g28090R","BraA07g02970R"
"AT2G18510","BraA09g12210R","BraA07g02960R"
"AT2G18550","BraA09g12240R","BraA07g02940R"
"AT2G18570","BraA06g28030R","BraA07g02910R"
"AT2G18630","BraA09g12280R","BraA07g02850R"
"AT2G18650","BraA09g12300R","BraA07g02830R"
"AT2G18670","BraA09g11540R","BraA07g02780R"
"AT2G18680","BraA09g12310R","BraA07g02770R"
"AT2G18730","BraA09g12340R","BraA07g02730R"
"AT2G18740","BraA06g28010R","BraA07g02720R"
"AT2G18750","BraA06g28000R","BraA09g12360R"
"AT2G18890","BraA09g12380R","BraA07g02640R"
"AT2G18910","BraA06g27980R","BraA09g12400R"
"AT2G18950","BraA09g12410R","BraA07g02580R"
"AT2G19010","BraA09g12440R","BraA07g02540R"
"AT2G19070","BraA06g27930R","BraA09g12450R"
"AT2G19260","BraA09g12550R","BraA07g02420R"
"AT2G19400","BraA09g12590R","BraA07g02280R"
"AT2G19450","BraA09g12600R","BraA07g02230R"
"AT2G19490","BraA09g54290R","BraA07g02190R"
"AT2G19500","BraA09g12630R","BraA07g02180R"
"AT2G19570","BraA03g41960R","BraA07g02140R"
"AT2G19590","BraA09g54220R","BraA07g02120R"
"AT2G19750","BraA09g12780R","BraA07g02000R"
"AT2G19760","BraA09g54160R","BraA09g12800R"
"AT2G19770","BraA09g54150R","BraA07g01980R"
"AT2G19780","BraA09g54130R","BraA09g12820R"
"AT2G19790","BraA09g12840R","BraA07g01960R"
"AT2G19800","BraA09g12850R","BraA07g01950R"
"AT2G19830","BraA09g12860R","BraA07g01890R"
"AT2G19860","BraA09g12870R","BraA07g01870R"
"AT2G19950","BraA09g12890R","BraA07g01780R"
"AT2G19980","BraA09g12900R","BraA07g01750R"
"AT2G20030","BraA09g54060R","BraA07g01700R"
"AT2G20060","BraA09g54050R","BraA07g01660R"
"AT2G20190","BraA09g12930R","BraA07g01600R"
"AT2G20290","BraA09g12970R","BraA07g01490R"
"AT2G20310","BraA09g12990R","BraA07g01470R"
"AT2G20320","BraA09g13000R","BraA07g01460R"
"AT2G20362","BraA09g53950R","BraA09g13070R"
"AT2G20400","BraA09g13090R","BraA07g01400R"
"AT2G20470","BraA09g53910R","BraA07g01360R"
"AT2G20562","BraA09g53870R","BraA07g01290R"
"AT2G20570","BraA09g53860R","BraA07g01280R"
"AT2G20670","BraA09g53790R","BraA07g01170R"
"AT2G20680","BraA09g53780R","BraA07g01150R"
"AT2G20800","BraA03g08070R","BraA02g07770R"
"AT2G20830","BraA09g53750R","BraA07g01020R"
"AT2G21090","BraA04g14770R","BraA09g53600R"
"AT2G21120","BraA04g14780R","BraA09g53560R"
"AT2G21300","BraA04g14930R","BraA09g53440R"
"AT2G21330","BraA04g14940R","BraA09g53420R"
"AT2G21340","BraA03g25370R","BraA09g53410R"
"AT2G21400","BraA04g14980R","BraA09g53360R"
"AT2G21410","BraA04g14990R","BraA09g53350R"
"AT2G21430","BraA04g15000R","BraA09g53330R"
"AT2G21440","BraA04g15010R","BraA09g53320R"
"AT2G21470","BraA04g15050R","BraA09g53310R"
"AT2G21510","BraA03g25360R","BraA09g53280R"
"AT2G21520","BraA04g15070R","BraA09g53270R"
"AT2G21560","BraA04g15090R","BraA09g53250R"
"AT2G21580","BraA04g15100R","BraA09g53240R"
"AT2G21600","BraA04g15120R","BraA09g53230R"
"AT2G21610","BraA04g15130R","BraA09g53220R"
"AT2G21680","BraA04g15190R","BraA09g53170R"
"AT2G21720","BraA04g15220R","BraA09g53140R"
"AT2G21740","BraA04g15260R","BraA09g53130R"
"AT2G21780","BraA04g15270R","BraA09g53100R"
"AT2G21820","BraA07g24820R","BraA07g40040R"
"AT2G21880","BraA04g15330R","BraA09g53080R"
"AT2G21900","BraA04g15340R","BraA09g53070R"
"AT2G22120","BraA04g15450R","BraA09g52970R"
"AT2G22125","BraA04g15460R","BraA09g52960R"
"AT2G22180","BraA04g15500R","BraA09g52920R"
"AT2G22250","BraA04g15630R","BraA09g52890R"
"AT2G22320","BraA04g15670R","BraA09g52840R"
"AT2G22400","BraA04g15730R","BraA09g52800R"
"AT2G22420","BraA04g15740R","BraA09g52790R"
"AT2G22470","BraA04g15850R","BraA09g52750R"
"AT2G22475","BraA04g15860R","BraA09g52740R"
"AT2G22490","BraA04g15870R","BraA09g52720R"
"AT2G22500","BraA04g15890R","BraA09g52710R"
"AT2G22510","BraA04g15900R","BraA09g52670R"
"AT2G22540","BraA04g15930R","BraA09g52620R"
"AT2G22600","BraA04g15950R","BraA09g52590R"
"AT2G22630","BraA04g15970R","BraA09g52550R"
"AT2G22640","BraA04g15980R","BraA09g52540R"
"AT2G22750","BraA04g16070R","BraA09g52520R"
"AT2G22760","BraA04g16090R","BraA09g52500R"
"AT2G22770","BraA04g16120R","BraA09g52490R"
"AT2G22790","BraA04g16140R","BraA09g52430R"
"AT2G22795","BraA04g16150R","BraA09g52420R"
"AT2G23070","BraA04g16420R","BraA09g52320R"
"AT2G23090","BraA03g25270R","BraA09g52310R"
"AT2G23093","BraA04g16430R","BraA09g52300R"
"AT2G23140","BraA04g16440R","BraA09g52260R"
"AT2G23150","BraA03g25260R","BraA09g52250R"
"AT2G23190","BraA03g25250R","BraA09g52220R"
"AT2G23200","BraA04g16570R","BraA09g52210R"
"AT2G23250","BraA04g16450R","BraA09g52200R"
"AT2G23270","BraA04g16460R","BraA09g52180R"
"AT2G23350","BraA04g16550R","BraA09g52160R"
"AT2G23440","BraA04g16600R","BraA09g52110R"
"AT2G23450","BraA04g16620R","BraA09g52100R"
"AT2G23540","BraA04g16670R","BraA09g52070R"
"AT2G23690","BraA04g16760R","BraA09g52040R"
"AT2G23740","BraA04g16790R","BraA09g52030R"
"AT2G23760","BraA04g16800R","BraA09g52010R"
"AT2G23790","BraA04g16840R","BraA09g52000R"
"AT2G23800","BraA04g16900R","BraA09g51980R"
"AT2G23810","BraA03g25240R","BraA09g51970R"
"AT2G23820","BraA04g16910R","BraA09g51960R"
"AT2G23980","BraA04g17010R","BraA09g51930R"
"AT2G23990","BraA04g17020R","BraA09g51920R"
"AT2G24090","BraA04g17100R","BraA09g51880R"
"AT2G24120","BraA04g17120R","BraA09g51850R"
"AT2G24150","BraA03g25230R","BraA09g51810R"
"AT2G24220","BraA04g17190R","BraA09g51750R"
"AT2G24260","BraA04g17250R","BraA09g51710R"
"AT2G24270","BraA04g17270R","BraA09g51700R"
"AT2G24320","BraA04g17300R","BraA09g51690R"
"AT2G24370","BraA04g17380R","BraA09g51640R"
"AT2G24420","BraA04g17420R","BraA09g51630R"
"AT2G24430","BraA04g17430R","BraA09g51620R"
"AT2G24440","BraA04g17440R","BraA09g51610R"
"AT2G24550","BraA04g17530R","BraA09g51520R"
"AT2G24590","BraA04g17560R","BraA09g51500R"
"AT2G24610","BraA04g17570R","BraA09g51490R"
"AT2G24640","BraA04g17580R","BraA09g51470R"
"AT2G24680","BraA03g24920R","BraA09g51510R"
"AT2G24700","BraA04g17600R","BraA09g51450R"
"AT2G24765","BraA04g17730R","BraA09g51400R"
"AT2G24850","BraA03g24950R","BraA09g51350R"
"AT2G25070","BraA04g17930R","BraA09g51280R"
"AT2G25100","BraA04g17950R","BraA09g51260R"
"AT2G25110","BraA04g17970R","BraA09g51250R"
"AT2G25190","BraA04g18020R","BraA09g51210R"
"AT2G25210","BraA04g18030R","BraA09g51170R"
"AT2G25290","BraA03g24980R","BraA09g51110R"
"AT2G25320","BraA04g18120R","BraA09g51070R"
"AT2G25430","BraA04g18130R","BraA09g51050R"
"AT2G25520","BraA04g18200R","BraA09g51010R"
"AT2G25565","BraA04g18230R","BraA09g50960R"
"AT2G25690","BraA03g25000R","BraA09g50880R"
"AT2G25737","BraA03g25020R","BraA04g18330R"
"AT2G25930","BraA04g18480R","BraA09g50820R"
"AT2G25970","BraA04g18510R","BraA09g50840R"
"AT2G26140","BraA04g18560R","BraA09g50760R"
"AT2G26250","BraA04g18620R","BraA09g50730R"
"AT2G26410","BraA03g24850R","BraA09g50640R"
"AT2G26430","BraA07g12100R","BraA09g35740R"
"AT2G26730","BraA04g18750R","BraA07g16500R"
"AT2G26800","BraA03g24790R","BraA07g16540R"
"AT2G26990","BraA03g24720R","BraA07g16600R"
"AT2G27020","BraA04g18800R","BraA07g16610R"
"AT2G27080","BraA03g24690R","BraA04g18870R"
"AT2G27100","BraA04g18880R","BraA07g16660R"
"AT2G27140","BraA03g24670R","BraA04g18890R"
"AT2G27170","BraA03g24660R","BraA04g18940R"
"AT2G27230","BraA04g19010R","BraA07g16700R"
"AT2G27310","BraA03g24600R","BraA04g19110R"
"AT2G27320","BraA03g19990R","BraA05g07810R"
"AT2G27350","BraA04g19120R","BraA07g16750R"
"AT2G27370","BraA03g24580R","BraA04g19130R"
"AT2G27500","BraA03g24510R","BraA07g16820R"
"AT2G27530","BraA04g19210R","BraA07g16840R"
"AT2G27740","BraA04g19330R","BraA07g16930R"
"AT2G27775","BraA04g19360R","BraA07g16940R"
"AT2G27790","BraA04g19370R","BraA07g16950R"
"AT2G27810","BraA04g19380R","BraA07g16980R"
"AT2G27930","BraA04g19480R","BraA07g17010R"
"AT2G27980","BraA04g19500R","BraA07g17040R"
"AT2G28070","BraA04g19540R","BraA07g17110R"
"AT2G28085","BraA03g24390R","BraA07g17150R"
"AT2G28110","BraA04g19580R","BraA07g17170R"
"AT2G28120","BraA04g19590R","BraA07g17180R"
"AT2G28190","BraA04g19620R","BraA07g17230R"
"AT2G28200","BraA04g19630R","BraA07g17240R"
"AT2G28310","BraA04g19660R","BraA07g17330R"
"AT2G28315","BraA04g19670R","BraA07g17340R"
"AT2G28340","BraA04g19680R","BraA07g17400R"
"AT2G28390","BraA03g24360R","BraA07g17460R"
"AT2G28470","BraA03g24350R","BraA07g17520R"
"AT2G28480","BraA03g24340R","BraA07g17530R"
"AT2G28540","BraA04g19840R","BraA07g17620R"
"AT2G28550","BraA03g24270R","BraA07g17630R"
"AT2G28605","BraA03g24230R","BraA04g19880R"
"AT2G28610","BraA03g24220R","BraA04g19890R"
"AT2G28670","BraA04g19960R","BraA07g17720R"
"AT2G28710","BraA04g19980R","BraA07g17760R"
"AT2G28760","BraA04g20030R","BraA07g17790R"
"AT2G28780","BraA04g20040R","BraA07g17800R"
"AT2G28790","BraA04g20050R","BraA07g17810R"
"AT2G28880","BraA04g20120R","BraA07g17850R"
"AT2G28950","BraA04g20160R","BraA07g17920R"
"AT2G29020","BraA04g20180R","BraA07g17940R"
"AT2G29040","BraA04g20190R","BraA07g17950R"
"AT2G29050","BraA04g20210R","BraA07g17960R"
"AT2G29060","BraA04g20220R","BraA07g17970R"
"AT2G29080","BraA04g20240R","BraA07g17980R"
"AT2G29450","BraA03g24120R","BraA05g14870R"
"AT2G29550","BraA04g20540R","BraA05g14790R"
"AT2G29640","BraA04g20570R","BraA05g14710R"
"AT2G29930","BraA03g24080R","BraA04g20640R"
"AT2G29940","BraA03g24070R","BraA04g20660R"
"AT2G30000","BraA03g15680R","BraA04g20690R"
"AT2G30010","BraA04g20700R","BraA05g14420R"
"AT2G30090","BraA04g20740R","BraA05g14360R"
"AT2G30150","BraA03g15790R","BraA05g14300R"
"AT2G30200","BraA03g15830R","BraA05g14270R"
"AT2G30210","BraA04g20840R","BraA05g14260R"
"AT2G30240","BraA03g15850R","BraA04g20880R"
"AT2G30340","BraA04g20960R","BraA05g14170R"
"AT2G30350","BraA03g15910R","BraA04g20950R"
"AT2G30370","BraA03g15930R","BraA04g20990R"
"AT2G30380","BraA03g15950R","BraA05g14150R"
"AT2G30395","BraA04g21020R","BraA05g14140R"
"AT2G30410","BraA03g15980R","BraA05g14120R"
"AT2G30500","BraA03g16050R","BraA04g21070R"
"AT2G30505","BraA04g21080R","BraA05g14080R"
"AT2G30520","BraA03g16060R","BraA05g14070R"
"AT2G30560","BraA04g21120R","BraA05g14040R"
"AT2G30700","BraA03g16130R","BraA04g21230R"
"AT2G30820","BraA03g16180R","BraA04g21310R"
"AT2G30840","BraA04g21330R","BraA05g13940R"
"AT2G30860","BraA03g16190R","BraA04g21340R"
"AT2G30880","BraA03g16200R","BraA04g21350R"
"AT2G30910","BraA03g16230R","BraA05g13920R"
"AT2G30930","BraA04g21400R","BraA05g13910R"
"AT2G30970","BraA04g21460R","BraA05g13870R"
"AT2G30980","BraA04g21480R","BraA05g13860R"
"AT2G31010","BraA03g16260R","BraA04g21500R"
"AT2G31060","BraA03g16290R","BraA04g21560R"
"AT2G31083","BraA03g16300R","BraA05g13810R"
"AT2G31100","BraA03g16310R","BraA05g13800R"
"AT2G31140","BraA03g16330R","BraA04g21690R"
"AT2G31220","BraA04g21740R","BraA05g13700R"
"AT2G31260","BraA04g21780R","BraA05g13720R"
"AT2G31270","BraA03g16380R","BraA05g13750R"
"AT2G31280","BraA04g21790R","BraA05g13760R"
"AT2G31305","BraA04g21800R","BraA05g13610R"
"AT2G31310","BraA04g22080R","BraA05g13590R"
"AT2G31335","BraA04g22070R","BraA05g13540R"
"AT2G31350","BraA03g16400R","BraA05g13500R"
"AT2G31370","BraA04g22040R","BraA05g13480R"
"AT2G31410","BraA03g16440R","BraA04g21980R"
"AT2G31480","BraA04g21940R","BraA05g13360R"
"AT2G31580","BraA03g16590R","BraA05g13200R"
"AT2G31680","BraA03g16640R","BraA05g13170R"
"AT2G31690","BraA03g16650R","BraA05g13160R"
"AT2G31750","BraA03g16680R","BraA04g22100R"
"AT2G31810","BraA04g22150R","BraA05g13090R"
"AT2G31865","BraA04g21850R","BraA05g13060R"
"AT2G31955","BraA03g16760R","BraA05g12960R"
"AT2G32040","BraA03g16820R","BraA05g12850R"
"AT2G32060","BraA03g16830R","BraA04g22290R"
"AT2G32235","BraA03g16840R","BraA05g12390R"
"AT2G32240","BraA03g16850R","BraA05g12400R"
"AT2G32260","BraA03g16860R","BraA05g12420R"
"AT2G32270","BraA04g22320R","BraA05g12430R"
"AT2G32280","BraA03g16870R","BraA05g12440R"
"AT2G32340","BraA03g16910R","BraA05g12480R"
"AT2G32390","BraA03g16930R","BraA05g12510R"
"AT2G32415","BraA04g22500R","BraA05g12530R"
"AT2G32480","BraA04g22520R","BraA05g12570R"
"AT2G32520","BraA04g22550R","BraA05g12620R"
"AT2G32690","BraA03g17020R","BraA04g22750R"
"AT2G32710","BraA03g17040R","BraA04g22770R"
"AT2G32750","BraA03g17070R","BraA05g12190R"
"AT2G32760","BraA03g17080R","BraA04g22810R"
"AT2G32850","BraA03g17310R","BraA05g12120R"
"AT2G32890","BraA03g17330R","BraA05g12090R"
"AT2G32950","BraA04g22880R","BraA05g12020R"
"AT2G32960","BraA04g22890R","BraA05g12010R"
"AT2G32970","BraA03g17220R","BraA05g12000R"
"AT2G32990","BraA04g22900R","BraA05g11970R"
"AT2G33100","BraA04g22930R","BraA05g11860R"
"AT2G33160","BraA03g17360R","BraA04g22960R"
"AT2G33240","BraA03g17410R","BraA05g11700R"
"AT2G33290","BraA04g23090R","BraA05g11680R"
"AT2G33320","BraA04g23130R","BraA05g11660R"
"AT2G33350","BraA04g23160R","BraA05g11610R"
"AT2G33360","BraA03g17450R","BraA05g11600R"
"AT2G33420","BraA03g17490R","BraA04g23230R"
