CHR,STAR,END,STRAND,BRA,Ath_ortho,Copies,BLK,B.oleracea_ortho,NonSynt_Pattern
A01,6348087,6350382,+,BraA01g12370R,AT4G17090,3,U,Bo1g052940,
A01,6354544,6357258,-,BraA01g12380R,AT4G17080,2,U,Bo1g052960,
A01,6359986,6364385,+,BraA01g12390R,AT4G17070,2,U,Bo8g046100,
A01,6365058,6366745,NS,BraA01g12400R,NS,0,U,Bo1g053000,
A01,6367039,6369965,-,BraA01g12410R,AT4G17050,2,U,Bo7g104880,
A01,6370175,6373414,+,BraA01g12420R,AT4G17040,2,U,Bo7g104870,
A01,6380383,6382098,+,BraA01g12430R,AT4G17030,3,U,Bo1g053030,
A01,6385503,6385721,NS,BraA01g12440R,NS,0,U,NA,
A01,6385831,6389036,+,BraA01g12450R,AT4G17020,1,U,Bo1g053040,
A01,6390154,6393209,+,BraA01g12460R,AT5G58830,2,U,Bo2g028300,
A01,6393382,6395296,-,BraA01g12470R,AT4G17010,1,U,NA,
A01,6402033,6405016,+,BraA01g12480R,AT4G17000,1,U,NA,
A01,6407708,6408160,-,BraA01g12490R,AT4G16980,1,U,NA,
A01,6410182,6415106,NS,BraA01g12500R,AT4G16970,1,U,Bo1g053090,
A01,6415355,6422388,-,BraA01g12510R,AT4G16835,1,U,Bo1g053100,
A01,6423588,6425126,-,BraA01g12520R,AT4G16820,2,U,Bo1g053130,
A01,6432402,6439064,-,BraA01g12530R,NA,0,U,Bo9g164350,
A01,6446701,6449680,NS,BraA01g12540R,NS,0,U,NA,
A01,6468453,6469913,+,BraA01g12550R,AT4G16790,2,U,Bo1g053210,
A01,6470821,6472301,-,BraA01g12560R,AT4G16780,1,U,Bo1g053220,
A01,6478571,6479711,NS,BraA01g12570R,NS,0,U,Bo9g157500,
A01,6522828,6527510,+,BraA01g12580R,AT4G16770,1,U,Bo1g053240,
A01,6546363,6546749,NS,BraA01g12590R,NS,0,U,NA,
A01,6547483,6551546,+,BraA01g12600R,AT4G16760,1,U,Bo1g053250,
A01,6558186,6558672,-,BraA01g12610R,NA,0,U,Bo6g077870,
A01,6559953,6560498,+,BraA01g12620R,AT4G16750,3,U,Bo1g053270,
A01,6588642,6590729,-,BraA01g12630R,AT4G16745,2,U,Bo1g053280,
A01,6598957,6602480,-,BraA01g12640R,AT4G16730,1,U,Bo1g053300,
A01,6617377,6618928,+,BraA01g12650R,AT4G16720,4,U,Bo1g053330,
A01,6619057,6620325,-,BraA01g12660R,AT4G16710,1,U,Bo1g053340,
A01,6620446,6624317,+,BraA01g12670R,AT4G16700,3,U,Bo1g053350,
A01,6622370,6624260,+,BraA01g12680R,AT4G16700,3,U,Bo1g053350,
A01,6626319,6627713,+,BraA01g12690R,AT4G16690,2,U,Bo1g053420,
A01,6633813,6640079,+,BraA01g12700R,AT4G16680,2,U,Bo1g053450,
A01,6634138,6636843,+,BraA01g12710R,AT4G16680,2,U,Bo1g053450,
A01,6638286,6638558,-,BraA01g12720R,AT4G16670,2,U,Bo1g053460,
A01,6639326,6639927,-,BraA01g12730R,AT4G16670,2,U,Bo1g053460,
A01,6647203,6655448,-,BraA01g12740R,AT4G16660,2,U,Bo1g053470,
A01,6666055,6667131,+,BraA01g12750R,AT4G16640,2,U,Bo1g053480,
A01,6668060,6672210,+,BraA01g12760R,AT4G16630,3,U,Bo8g045770,
A01,6675117,6676142,NS,BraA01g12770R,AT4G16630,3,U,NA,
A01,6678509,6679102,-,BraA01g12780R,AT4G16610,3,U,Bo00875s050,
A01,6687060,6691580,-,BraA01g12790R,AT4G16600,1,U,Bo00875s040,
A01,6698444,6704831,-,BraA01g12800R,AT4G16570,1,U,Bo1g053520,
A01,6698737,6700143,+,BraA01g12810R,AT4G16580,1,U,Bo1g053510,
A01,6705571,6706991,+,BraA01g12820R,AT4G16566,2,U,Bo1g053530,
A01,6709872,6711347,+,BraA01g12830R,AT4G16563,1,U,NA,
A01,6715537,6716409,+,BraA01g12840R,NA,0,U,Bo1g053560,
A01,6718423,6719846,+,BraA01g12850R,NA,0,U,Bo1g053580,
A01,6720982,6721518,-,BraA01g12860R,NA,0,U,Bo1g053590,
A01,6722313,6723628,NS,BraA01g12870R,NS,0,U,Bo9g069690,
A01,6725231,6725741,-,BraA01g12880R,AT2G35736,1,U,NA,
A01,6725506,6726481,+,BraA01g12890R,AT4G16520,3,U,Bo1g053610,
A01,6732987,6733487,+,BraA01g12900R,AT4G16515,4,U,NA,
A01,6733432,6735692,+,BraA01g12910R,AT4G16515,4,U,NA,
A01,6745749,6767495,+,BraA01g12920R,AT4G16500,4,U,Bo1g053650,
A01,6769059,6769397,NS,BraA01g12930R,NS,0,U,Bo1g053670,
A01,6781625,6783838,+,BraA01g12940R,AT4G16490,1,U,Bo7g104470,
A01,6783913,6786234,-,BraA01g12950R,AT4G16480,3,U,Bo1g053700,
A01,6791276,6795760,+,BraA01g12960R,AT4G16470,2,U,Bo1g053730,
A01,6791719,6795745,+,BraA01g12970R,AT4G16470,2,U,Bo1g053730,
A01,6798432,6799301,NS,BraA01g12980R,NS,0,U,Bo8g051310,
A01,6821353,6821966,NS,BraA01g12990R,NS,0,U,Bo7g064740,
A01,6822530,6822909,NS,BraA01g13000R,NS,0,U,Bo7g064740,
A01,6822978,6823193,NS,BraA01g13010R,NS,0,U,Bo7g064740,
A01,6823942,6824432,-,BraA01g13020R,AT4G16460,2,U,NA,
A01,6826661,6827394,-,BraA01g13030R,AT4G16450,2,U,Bo1g053750,
A01,6829952,6830299,-,BraA01g13040R,AT4G16447,3,U,NA,
A01,6846199,6847913,+,BraA01g13050R,AT4G23355,1,U,Bo1g054770,
A01,6852033,6853521,+,BraA01g13060R,AT4G16442,2,U,Bo1g054780,
A01,6854412,6860145,+,BraA01g13070R,AT4G16430,4,U,Bo1g054800,
A01,6857634,6860130,+,BraA01g13080R,AT4G16430,4,U,Bo1g054800,
A01,6864477,6865729,-,BraA01g13090R,AT4G16400,3,U,Bo7g104380,
A01,6865171,6870112,-,BraA01g13100R,AT4G16400,3,U,Bo02820s010,
A01,6867605,6868068,-,BraA01g13110R,AT4G16400,3,U,Bo02820s010,
A01,6870566,6872659,-,BraA01g13120R,AT4G16390,2,U,Bo1g054850,
A01,6873446,6883904,-,BraA01g13130R,AT4G16380,3,U,NA,
A01,6889973,6891155,NS,BraA01g13140R,NS,0,U,NA,
A01,6891176,6891741,NS,BraA01g13150R,NS,0,U,NA,
A01,6894957,6897202,+,BraA01g13160R,AT4G16350,1,U,Bo1g054870,
A01,6897831,6909702,+,BraA01g13170R,AT4G16340,1,U,Bo1g054880,
A01,6910040,6911976,+,BraA01g13180R,AT4G16330,1,U,Bo1g054890,
A01,6912108,6919775,+,BraA01g13190R,AT4G16280,1,U,Bo1g054910,
A01,6933056,6934422,-,BraA01g13200R,AT4G16270,1,U,Bo1g054920,
A01,6936553,6939363,+,BraA01g13210R,AT4G16265,2,U,Bo1g054930,
A01,6942877,6944811,+,BraA01g13220R,AT4G16260,1,U,Bo1g054940,
A01,6952412,6956737,-,BraA01g13230R,AT1G54350,1,U,Bo1g054960,
A01,6955882,6956191,NS,BraA01g13240R,NS,0,U,NA,
A01,6961482,6963571,+,BraA01g13250R,AT3G17000,2,U,Bo1g054980,
A01,6968195,6969181,NS,BraA01g13260R,NS,0,U,NA,
A01,6971915,6974172,-,BraA01g13270R,AT4G16190,2,U,Bo1g055000,
A01,6974240,6979415,+,BraA01g13280R,AT4G16180,2,U,NA,
A01,6979593,6982454,-,BraA01g13290R,AT3G22980,3,U,Bo5g093250,
A01,6982472,6983568,-,BraA01g13300R,AT3G22980,3,U,Bo5g093250,
A01,6990671,6992427,-,BraA01g13310R,AT4G16160,3,U,Bo1g055040,
A01,6992574,6995954,+,BraA01g13320R,AT4G16155,3,U,Bo1g055050,
A01,6997073,6997291,NS,BraA01g13330R,NS,0,NA,NA,
A01,6997674,6998469,NS,BraA01g13340R,NS,0,NA,NA,
A01,7008718,7013226,+,BraA01g13350R,AT4G04910,3,NA,Bo1g055060,
A01,7020588,7022774,NS,BraA01g13360R,NS,0,NA,Bo1g055080,
A01,7025390,7026937,NS,BraA01g13370R,NS,0,NA,Bo9g174500,
A01,7035254,7037835,+,BraA01g13380R,AT4G16144,3,T,Bo1g055100,
A01,7039083,7046112,+,BraA01g13390R,AT4G16144,3,T,Bo1g055100,
A01,7061110,7064841,NS,BraA01g13400R,NS,0,T,NA,
A01,7066853,7067077,NS,BraA01g13410R,NS,0,T,NA,
A01,7067615,7073058,+,BraA01g13420R,AT4G16143,3,T,Bo1g055110,
A01,7076968,7084131,-,BraA01g13430R,AT4G16130,1,T,Bo1g055160,
A01,7090920,7091431,NS,BraA01g13440R,NS,0,T,Bo2g093170,
A01,7094980,7099796,+,BraA01g13450R,AT4G16120,2,T,Bo1g055170,
A01,7096263,7101207,+,BraA01g13460R,AT4G16120,2,T,Bo1g055170,
A01,7124475,7126652,-,BraA01g13470R,AT5G48930,2,T,Bo1g055210,
A01,7175244,7175657,+,BraA01g13490R,AT4G15990,3,T,NA,
A01,7176984,7179825,NS,BraA01g13500R,NS,0,T,NA,
A01,7187802,7189003,-,BraA01g13510R,AT4G13992,2,T,Bo1g055250,
A01,7213271,7215080,-,BraA01g13520R,AT4G12720,3,T,Bo7g104160,
A01,7221327,7221986,-,BraA01g13530R,AT4G15910,2,T,Bo1g055280,
A01,7224189,7224940,NS,BraA01g13540R,NA,0,T,Bo1g055330,
A01,7238941,7251720,-,BraA01g13550R,AT4G15850,2,T,Bo1g055350,
A01,7257431,7259246,-,BraA01g13560R,AT4G12720,3,T,Bo7g104160,
A01,7265491,7266151,-,BraA01g13570R,AT4G15910,2,T,Bo1g055280,
A01,7268303,7269116,NS,BraA01g13580R,NA,0,T,Bo1g055330,
A01,7282595,7286101,-,BraA01g13590R,AT4G15850,2,T,Bo1g055350,
A01,7287161,7290796,+,BraA01g13600R,AT5G49555,1,T,Bo1g055360,
A01,7301370,7302224,+,BraA01g13610R,AT3G50850,2,T,Bo1g055370,
A01,7304329,7307487,NS,BraA01g13620R,AT4G15810,1,T,NA,
A01,7308529,7309971,+,BraA01g13630R,AT4G15802,3,T,Bo1g055390,
A01,7310850,7312708,-,BraA01g13640R,AT4G15790,2,T,NA,
A01,7312904,7317391,-,BraA01g13650R,AT5G20660,1,T,Bo1g055410,
A01,7319568,7320535,NS,BraA01g13660R,NS,0,T,NA,
A01,7321642,7323958,+,BraA01g13670R,AT4G15780,2,T,Bo1g055420,
A01,7324772,7325335,-,BraA01g13680R,AT4G15770,3,T,Bo8g042090,
A01,7326442,7329122,-,BraA01g13690R,AT5G24960,4,T,Bo2g159250,
A01,7333972,7334346,NS,BraA01g13700R,NS,0,T,NA,
A01,7344219,7351571,+,BraA01g13710R,AT4G15740,4,T,Bo1g055460,
A01,7351593,7352027,+,BraA01g13720R,AT4G15740,4,T,Bo1g055470,
A01,7358006,7363495,NS,BraA01g13730R,AT4G15730,1,T,Bo1g055530,
A01,7364179,7366887,-,BraA01g13740R,AT4G15680,5,T,Bo01343s010,
A01,7366944,7383848,-,BraA01g13750R,AT4G15680,5,T,Bo8g040920,
A01,7413221,7418471,-,BraA01g13800R,AT4G15570,2,T,NA,
A01,7419345,7420766,-,BraA01g13810R,AT4G15563,1,T,Bo1g056620,
A01,7428581,7432222,-,BraA01g13820R,AT4G15560,2,T,Bo1g056630,
A01,7436674,7437847,+,BraA01g13830R,AT4G15550,5,T,Bo1g056640,
A01,7436735,7438168,+,BraA01g13840R,AT4G15550,5,T,Bo1g056640,
A01,7442185,7444207,-,BraA01g13850R,AT4G15545,1,T,Bo1g056650,
A01,7450365,7457369,+,BraA01g13870R,AT4G15530,3,T,Bo7g103820,
A01,7473258,7474814,+,BraA01g13890R,AT4G15490,2,T,Bo1g056750,
A01,7484213,7485351,NS,BraA01g13900R,NS,0,T,Bo3g103490,
A01,7502097,7503545,+,BraA01g13910R,AT4G15490,2,T,Bo1g056750,
A01,7507751,7511384,+,BraA01g13920R,AT4G15480,2,T,Bo1g056750,
A01,7512497,7514958,-,BraA01g13930R,AT4G15450,1,T,Bo1g056820,
A01,7516953,7517741,NS,BraA01g13940R,NS,0,T,NA,
A01,7525593,7526740,NS,BraA01g13950R,NS,0,T,NA,
A01,7528821,7532478,NS,BraA01g13960R,NS,0,T,NA,
A01,7536106,7542565,-,BraA01g13970R,AT4G15430,2,T,Bo1g056830,
A01,7536284,7538674,NS,BraA01g13980R,NS,0,T,NA,
A01,7553660,7554450,+,BraA01g13990R,NA,0,T,Bo7g113280,
A01,7556059,7557651,-,BraA01g14000R,AT4G15417,2,T,Bo1g056890,
A01,7560530,7562920,-,BraA01g14010R,AT4G15415,2,T,Bo1g056900,
A01,7570752,7575489,-,BraA01g14020R,AT4G15396,2,T,Bo1g056950,
A01,7577113,7577602,NS,BraA01g14030R,NS,0,T,Bo1g078710,
A01,7583301,7584450,NS,BraA01g14040R,NS,0,T,NA,
A01,7585663,7589376,NS,BraA01g14050R,NS,0,T,NA,
A01,7605042,7608528,NS,BraA01g14060R,NS,0,T,NA,
A01,7629627,7631078,-,BraA01g14080R,AT4G15260,1,T,Bo1g057030,
A01,7646714,7649254,+,BraA01g14090R,AT4G15240,1,T,Bo1g057050,
A01,7662400,7665544,+,BraA01g14110R,AT4G15200,2,T,Bo1g057080,
A01,7665658,7676561,-,BraA01g14120R,AT4G15180,2,T,Bo1g057090,
A01,7689314,7690204,-,BraA01g14130R,AT4G15160,3,T,Bo3g079960,
A01,7713703,7722421,-,BraA01g14140R,AT4G15130,2,T,Bo1g057130,
A01,7726632,7727186,-,BraA01g14150R,AT4G15120,1,T,Bo1g057140,
A01,7733652,7735812,NS,BraA01g14160R,NS,0,T,Bo7g076000,
A01,7745465,7749122,+,BraA01g14170R,AT4G15080,1,T,Bo1g057150,
A01,7750001,7751032,NS,BraA01g14180R,NS,0,T,Bo6g015650,
A01,7751146,7760240,-,BraA01g14190R,AT4G15060,3,T,Bo1g057160,
A01,7753708,7755191,-,BraA01g14200R,AT4G15060,3,T,Bo8g089900,
A01,7778420,7788427,NS,BraA01g14210R,NS,0,T,Bo9g154090,
A01,7820784,7823670,+,BraA01g14230R,AT4G15040,2,T,Bo1g057220,
A01,7823697,7823990,+,BraA01g14240R,AT5G59110,2,T,NA,
A01,7823927,7826236,-,BraA01g14250R,AT4G15030,1,T,NA,
A01,7837283,7842427,-,BraA01g14260R,AT4G15010,2,T,Bo1g057240,
A01,7842749,7843156,-,BraA01g14270R,NA,0,T,Bo3g080050,
A01,7853775,7857789,+,BraA01g14280R,AT4G14990,1,T,NA,
A01,7865281,7868023,-,BraA01g14290R,AT4G14950,2,T,Bo1g057270,
A01,7870098,7872261,NS,BraA01g14300R,NS,0,T,NA,
A01,7873042,7875543,-,BraA01g14310R,AT4G14940,1,T,Bo1g057280,
A01,7883424,7888579,-,BraA01g14320R,AT4G14930,2,T,Bo8g039400,
A01,8089682,8090397,NS,BraA01g14330R,NS,0,T,Bo8g051000,
A01,8090852,8091597,NS,BraA01g14340R,NS,0,T,Bo8g051000,
A01,8104783,8105666,NS,BraA01g14360R,NS,0,NA,NA,
A01,8117626,8119147,NS,BraA01g14370R,NS,0,NA,NA,
A01,8120864,8121261,NS,BraA01g14380R,NS,0,NA,Bo5g098310,
A01,8121325,8130562,NS,BraA01g14390R,NS,0,NA,Bo5g098310,
A01,8151723,8158511,+,BraA01g14400R,AT5G35210,1,NA,Bo1g063790,
A01,8158493,8159152,NS,BraA01g14410R,NS,0,NA,Bo3g086750,
A01,8159524,8159772,NS,BraA01g14420R,NS,0,NA,Bo3g086750,
A01,8161738,8169796,-,BraA01g14430R,AT5G22780,1,NA,Bo1g063800,
A01,8191327,8194148,-,BraA01g14440R,AT1G53140,3,NA,Bo6g029280,
A01,8208417,8209745,NS,BraA01g14450R,NS,0,NA,NA,
A01,8215524,8219118,+,BraA01g14460R,AT3G44820,1,M,Bo1g063820,
A01,8233427,8236052,+,BraA01g14470R,AT3G44880,1,M,Bo1g063840,
A01,8238823,8243438,+,BraA01g14480R,AT3G44900,1,M,Bo1g063860,
A01,8248210,8248780,NS,BraA01g14490R,NS,0,M,Bo2g125620,
A01,8248818,8249241,NS,BraA01g14500R,NS,0,M,Bo2g125620,
A01,8249254,8249688,NS,BraA01g14510R,NS,0,M,Bo2g125620,
A01,8257585,8259539,-,BraA01g14520R,AT3G44940,1,M,Bo1g063960,
A01,8280501,8286691,-,BraA01g14530R,AT3G44990,2,M,Bo3g120750,
A01,8296838,8297496,NS,BraA01g14540R,NS,0,M,Bo00706s030,
A01,8297541,8299526,NS,BraA01g14550R,NS,0,M,Bo00706s030,
A01,8299555,8299767,NS,BraA01g14560R,NS,0,M,Bo00706s030,
A01,8306381,8307674,NS,BraA01g14570R,NS,0,M,NA,
A01,8349479,8351906,NS,BraA01g14580R,NS,0,M,Bo6g108850,
A01,8352644,8353077,NS,BraA01g14590R,NS,0,M,NA,
A01,8362482,8362781,-,BraA01g14600R,AT3G45020,1,M,Bo00751s110,
A01,8400041,8401989,NS,BraA01g14610R,NS,0,M,NA,
A01,8401487,8402712,NS,BraA01g14620R,NS,0,M,NA,
A01,8431506,8433781,NS,BraA01g14630R,NS,0,M,NA,
A01,8472483,8474180,NS,BraA01g14640R,NS,0,M,NA,
A01,8490424,8492407,NS,BraA01g14660R,NS,0,M,NA,
A01,8493806,8496943,-,BraA01g14670R,AT3G45040,2,M,NA,
A01,8508767,8509938,+,BraA01g14680R,AT3G45050,1,M,NA,
A01,8510132,8511855,-,BraA01g14690R,AT3G45060,4,M,Bo1g065080,
A01,8536434,8539209,-,BraA01g14700R,AT3G45060,4,M,Bo1g065110,
A01,8593475,8594301,NS,BraA01g14710R,NS,0,M,NA,
A01,8594392,8594622,-,BraA01g14720R,AT3G45160,1,M,NA,
A01,8598193,8606745,-,BraA01g14730R,AT3G45190,2,M,Bo3g128770,
A01,8709457,8711053,NS,BraA01g14740R,NS,0,M,Bo5g136490,
A01,8711390,8713749,-,BraA01g14750R,AT3G45260,2,M,NA,
A01,8719272,8719850,NS,BraA01g14760R,NS,0,M,Bo9g052160,
A01,8755904,8756767,NS,BraA01g14770R,NS,0,M,NA,
A01,8757650,8760309,NS,BraA01g14780R,NS,0,M,Bo2g079090,
A01,8760272,8762730,-,BraA01g14790R,AT3G45600,1,M,Bo1g065230,
A01,8772165,8774291,NS,BraA01g14800R,NS,0,M,Bo9g171720,
A01,8777900,8779876,+,BraA01g14810R,AT3G45650,2,M,Bo3g130050,
A01,8780087,8781083,NS,BraA01g14820R,NS,0,M,NA,
A01,8788352,8788573,+,BraA01g14830R,NA,0,M,NA,
A01,8788425,8788649,+,BraA01g14840R,NA,0,M,NA,
A01,8789193,8791712,-,BraA01g14850R,AT3G45770,1,M,Bo1g067270,
A01,8803383,8808943,-,BraA01g14860R,AT3G45850,2,M,Bo1g067300,
A01,8816874,8818587,+,BraA01g14870R,NA,0,M,Bo3g017730,
A01,8857943,8863095,NS,BraA01g14880R,NS,0,M,Bo4g088240,
A01,8882177,8885083,+,BraA01g14890R,AT3G46290,2,M,Bo1g068500,
A01,8949843,8954012,-,BraA01g14900R,AT3G46330,1,M,Bo5g008290,
A01,8955819,8956523,NS,BraA01g14910R,NS,0,M,NA,
A01,8968056,8970014,NS,BraA01g14920R,NS,0,M,NA,
A01,8990821,8991624,NS,BraA01g14940R,NS,0,M,NA,
A01,9006961,9011903,NS,BraA01g14960R,NS,0,M,Bo3g161980,
A01,9029619,9031020,NS,BraA01g14970R,NS,0,M,NA,
A01,9031167,9035396,NS,BraA01g14980R,NS,0,M,Bo5g109700,
A01,9043348,9043673,+,BraA01g14990R,AT3G46490,1,M,Bo5g085200,
A01,9046608,9047002,NS,BraA01g15000R,NS,0,M,NA,
A01,9047013,9047958,NS,BraA01g15010R,NS,0,M,NA,
A01,9060114,9062942,-,BraA01g15020R,AT3G46510,2,M,Bo1g070710,
A01,9099863,9102396,+,BraA01g15030R,AT3G46520,4,M,Bo1g070760,
A01,9117487,9118086,+,BraA01g15040R,NA,0,M,Bo8g079590,
A01,9120962,9122364,-,BraA01g15050R,AT3G09110,2,M,Bo02094s010,
A01,9132484,9133838,+,BraA01g15060R,AT3G46580,1,M,Bo1g070790,
A01,9147277,9149088,+,BraA01g15070R,AT3G46600,1,M,Bo1g070830,
A01,9190601,9192846,NS,BraA01g15090R,NS,0,M,Bo2g079090,
A01,9192852,9193355,NS,BraA01g15100R,NS,0,M,Bo2g079090,
A01,9194733,9195527,NS,BraA01g15110R,NS,0,M,NA,
A01,9207094,9207844,NS,BraA01g15120R,NS,0,M,Bo4g092710,
A01,9216232,9220877,-,BraA01g15140R,AT3G46670,1,M,Bo1g070870,
A01,9221170,9221751,-,BraA01g15160R,AT3G46680,1,M,Bo1g070880,
A01,9225918,9229453,-,BraA01g15170R,AT3G46740,3,M,Bo1g070930,
A01,9239579,9249086,-,BraA01g15190R,AT3G46760,2,M,Bo1g070960,
A01,9259951,9262360,+,BraA01g15200R,AT3G46780,1,M,Bo1g070980,
A01,9269181,9271148,-,BraA01g15210R,AT3G46790,1,M,Bo1g070990,
A01,9272650,9273841,-,BraA01g15220R,AT3G46830,3,M,Bo3g132960,
A01,9273872,9274279,-,BraA01g15230R,AT3G46830,3,M,Bo3g132960,
A01,9280613,9281824,-,BraA01g15240R,NA,0,M,Bo9g152360,
A01,9284113,9284758,NS,BraA01g15250R,NS,0,M,NA,
A01,9301624,9302993,+,BraA01g15260R,NA,0,M,NA,
A01,9314821,9317064,NS,BraA01g15270R,NS,0,M,Bo4g120250,
A01,9343831,9344556,NS,BraA01g15310R,NS,0,M,Bo2g107580,
A01,9350080,9350298,NS,BraA01g15320R,NS,0,M,NA,
A01,9351002,9354361,-,BraA01g15330R,AT3G47040,1,M,Bo1g071130,
A01,9392030,9402121,+,BraA01g15340R,AT3G47360,3,M,Bo7g104060,
A01,9408424,9412745,+,BraA01g15350R,AT3G47400,2,M,Bo3g134430,
A01,9413420,9415941,NS,BraA01g15360R,NS,0,M,Bo01171s010,
A01,9415496,9416486,NS,BraA01g15370R,NS,0,M,Bo01171s010,
A01,9425515,9426417,NS,BraA01g15380R,NS,0,M,Bo5g048860,
A01,9445264,9446018,NS,BraA01g15390R,NS,0,M,NA,
A01,9479360,9480922,NS,BraA01g15410R,NS,0,M,Bo6g092900,
A01,9488352,9491359,+,BraA01g15420R,AT3G47640,4,M,NA,
A01,9492248,9493413,+,BraA01g15430R,AT3G47650,2,M,NA,
A01,9499799,9500701,NS,BraA01g15440R,NS,0,M,NA,
A01,9517223,9517471,NS,BraA01g15450R,NS,0,M,NA,
A01,9519176,9523787,+,BraA01g15460R,AT3G47780,2,M,Bo1g072440,
A01,9530925,9532633,+,BraA01g15470R,AT3G47830,2,M,Bo1g072450,
A01,9537390,9537722,NS,BraA01g15480R,NS,0,M,NA,
A01,9537978,9539823,-,BraA01g15490R,AT3G47940,1,M,Bo3g136960,
A01,9546616,9547341,NS,BraA01g15500R,NS,0,M,Bo2g107580,
A01,9556329,9560669,-,BraA01g15510R,AT3G47960,3,M,Bo1g076800,
A01,9582668,9586349,+,BraA01g15520R,AT3G47980,2,M,Bo1g076850,
A01,9589245,9591900,-,BraA01g15530R,AT3G47990,1,M,Bo1g076870,
A01,9600792,9602775,NS,BraA01g15550R,AT3G48080,1,M,Bo1g073560,
A01,9605061,9607560,-,BraA01g15560R,AT3G48090,2,M,Bo1g073600,
A01,9639283,9642407,-,BraA01g15570R,AT3G48100,3,M,Bo1g073610,
A01,9646273,9647288,NS,BraA01g15580R,NS,0,M,Bo9g071700,
A01,9654952,9655642,NS,BraA01g15590R,NS,0,M,NA,
A01,9659720,9662610,-,BraA01g15600R,AT3G48150,2,M,Bo1g074670,
A01,9690609,9694876,+,BraA01g15610R,AT3G48160,2,M,Bo1g074680,
A01,9695193,9695435,-,BraA01g15620R,AT3G48180,2,M,NA,
A01,9698668,9700138,NS,BraA01g15630R,NS,0,M,NA,
A01,9709713,9715457,NS,BraA01g15640R,NS,0,M,Bo9g071450,
A01,9728087,9732241,-,BraA01g15650R,AT3G48195,1,M,Bo1g075690,
A01,9733217,9736872,NS,BraA01g15660R,NS,0,M,Bo6g067780,
A01,9757736,9758453,+,BraA01g15670R,NA,0,M,NA,
A01,9807752,9809661,NS,BraA01g15680R,NS,0,M,Bo5g109700,
A01,9826996,9828824,+,BraA01g15690R,AT3G48270,1,M,Bo1g075730,
A01,9846221,9847990,+,BraA01g15710R,AT3G48300,2,M,Bo1g075770,
A01,9864293,9864579,NS,BraA01g15720R,NS,0,M,NA,
A01,9867842,9869444,NS,BraA01g15730R,NS,0,M,NA,
A01,9874278,9876078,+,BraA01g15740R,AT3G48300,2,M,Bo1g077120,
A01,9882822,9883667,-,BraA01g15750R,AT3G48450,2,M,Bo1g077070,
A01,9897559,9901490,+,BraA01g15760R,AT3G48500,1,M,NA,
A01,9903951,9905311,NS,BraA01g15770R,NS,0,M,NA,
A01,9934679,9938251,NS,BraA01g15790R,NS,0,M,NA,
A01,9951278,9954079,+,BraA01g15800R,AT3G48530,3,M,Bo1g076970,
A01,9952240,9956176,+,BraA01g15810R,AT3G48530,3,M,Bo1g076970,
A01,9966431,9967487,+,BraA01g15820R,AT3G48550,2,M,NA,
A01,10011219,10013177,-,BraA01g15830R,AT3G48560,1,M,Bo1g076910,
A01,10055639,10071914,NS,BraA01g15850R,NS,0,M,NA,
A01,10077811,10078205,NS,BraA01g15860R,NS,0,M,Bo1g078710,
A01,10080531,10084442,-,BraA01g15870R,AT3G48610,2,M,Bo8g077160,
A01,10087700,10088392,+,BraA01g15880R,AT3G48660,3,M,Bo3g112270,
A01,10089018,10089989,-,BraA01g15890R,AT3G48690,2,M,Bo1g078300,
A01,10110460,10110904,NS,BraA01g15900R,NS,0,M,Bo2g149750,
A01,10116652,10118057,NS,BraA01g15910R,NS,0,M,Bo2g149750,
A01,10118514,10120414,NS,BraA01g15920R,NS,0,M,Bo9g071700,
A01,10121564,10122784,-,BraA01g15930R,AT3G48700,1,M,Bo1g078310,
A01,10126234,10128436,NS,BraA01g15940R,NS,0,M,NA,
A01,10132206,10134280,NS,BraA01g15950R,NS,0,M,NA,
A01,10135455,10138682,-,BraA01g15960R,AT3G48740,3,M,Bo1g078350,
A01,10141564,10142748,NS,BraA01g15970R,NS,0,M,NA,
A01,10181958,10184517,+,BraA01g15980R,AT3G48750,2,M,Bo1g078380,
A01,10189560,10192476,+,BraA01g15990R,AT3G48780,3,M,Bo1g078390,
A01,10191717,10193535,+,BraA01g16000R,AT3G48780,3,M,Bo1g078390,
A01,10198400,10200364,+,BraA01g16010R,AT3G48810,1,M,Bo1g078420,
A01,10209053,10213320,-,BraA01g16020R,AT3G48870,3,M,Bo1g078470,
A01,10213505,10215694,+,BraA01g16030R,AT3G48880,2,M,Bo8g077340,
A01,10218499,10218821,NS,BraA01g16040R,NS,0,M,Bo8g050830,
A01,10222258,10223181,NS,BraA01g16050R,NS,0,M,Bo3g080140,
A01,10224379,10228695,+,BraA01g16060R,AT3G48900,1,M,Bo1g078490,
A01,10243602,10244453,NS,BraA01g16080R,NS,0,M,Bo3g107850,
A01,10249908,10251163,-,BraA01g16090R,AT3G48930,1,M,Bo8g077370,
A01,10264985,10266670,-,BraA01g16110R,AT3G49010,3,M,Bo8g077470,
A01,10269478,10271131,NS,BraA01g16130R,AT3G49050,3,M,Bo1g078600,
A01,10271487,10271783,NS,BraA01g16140R,NS,0,M,NA,
A01,10294326,10297133,+,BraA01g16150R,AT3G49110,2,M,Bo1g078620,
A01,10307535,10309595,-,BraA01g16170R,AT3G49142,1,M,Bo1g078670,
A01,10315297,10318999,-,BraA01g16180R,AT3G49160,1,M,Bo1g078680,
