Accession,Gene Length (bp)
BraA03g19280R,2440
BraA03g19290R,1041
BraA03g19300R,2277
BraA03g19310R,4542
BraA03g19320R,3243
BraA03g19330R,954
BraA03g19340R,2031
BraA03g19350R,1620
BraA03g19360R,303
BraA03g19370R,234
BraA03g19380R,2122
BraA03g19390R,955
BraA03g19400R,1787
BraA03g19410R,707
BraA03g19420R,777
BraA03g19430R,4167
BraA03g19440R,4142
BraA03g19450R,2553
BraA03g19460R,3277
BraA03g19470R,747
BraA03g19480R,2772
BraA03g19490R,592
BraA03g19500R,756
BraA03g19510R,3205
BraA03g19520R,2276
BraA03g19530R,6146
BraA03g19540R,606
BraA03g19550R,246
BraA03g19560R,2363
BraA03g19570R,1380
BraA03g19580R,2094
BraA03g19590R,5736
BraA03g19600R,2095
BraA03g19610R,1854
BraA03g19620R,754
BraA03g19630R,1274
BraA03g19640R,4860
BraA03g19650R,1806
BraA03g19660R,3774
BraA03g19670R,2817
BraA03g19680R,4519
BraA03g19690R,4445
BraA03g19700R,2800
BraA03g19710R,6576
BraA03g19720R,2849
BraA03g19730R,1649
BraA03g19740R,1743
BraA03g19750R,3373
BraA03g19760R,646
BraA03g19770R,2810
BraA03g19780R,2987
BraA03g19790R,950
BraA03g19800R,672
BraA03g19810R,2388
BraA03g19820R,9463
BraA03g19830R,2917
BraA03g19840R,2174
BraA03g19850R,1617
BraA03g19860R,1136
BraA03g19870R,3329
BraA03g19880R,2889
BraA03g19890R,1293
BraA03g19900R,1955
BraA03g19910R,387
BraA03g19920R,1804
BraA03g19930R,1765
BraA03g19940R,4311
BraA03g19950R,1381
BraA03g19960R,1207
BraA03g19970R,3064
BraA03g19980R,4279
BraA03g19990R,4092
BraA03g20000R,1807
BraA03g20010R,8406
BraA03g20020R,4285
BraA03g20030R,2045
BraA03g20040R,3246
BraA03g20050R,3078
BraA03g20060R,2199
BraA03g20070R,2606
BraA03g20080R,1844
BraA03g20090R,3967
BraA03g20100R,1619
BraA03g20110R,3969
BraA03g20120R,585
BraA03g20130R,2969
BraA03g20140R,588
BraA03g20150R,1518
BraA03g20160R,1035
BraA03g20170R,1814
BraA03g20180R,1156
BraA03g20190R,4816
BraA03g20200R,588
BraA03g20210R,2296
BraA03g20220R,2157
BraA03g20230R,1600
BraA03g20240R,3088
BraA03g20250R,2760
BraA03g20260R,1607
BraA03g20270R,4204
BraA03g20280R,9792
BraA03g20290R,612
BraA03g20300R,3205
BraA03g20310R,705
BraA03g20320R,2620
BraA03g20330R,15521
BraA03g20340R,1082
BraA03g20350R,2125
BraA03g20360R,1429
BraA03g20370R,4319
BraA03g20380R,2295
BraA03g20390R,5683
BraA03g20400R,17367
BraA03g20410R,4340
BraA03g20420R,2763
BraA03g20430R,2945
BraA03g20440R,7347
BraA03g20450R,780
BraA03g20460R,2015
BraA03g20470R,2374
BraA03g20480R,3830
BraA03g20490R,2864
BraA03g20500R,2460
BraA03g20510R,1686
BraA03g20520R,430
BraA03g20530R,1110
BraA03g20540R,3236
BraA03g20550R,3342
BraA03g20560R,927
BraA03g20570R,1077
BraA03g20580R,6344
BraA03g20590R,486
BraA03g20600R,2511
BraA03g20610R,2816
BraA03g20620R,2321
BraA03g20630R,2771
BraA03g20640R,1661
BraA03g20650R,1128
BraA03g20660R,2780
BraA03g20670R,3490
BraA03g20680R,663
BraA03g20690R,2497
BraA03g20700R,4246
BraA03g20710R,2367
BraA03g20720R,2564
BraA03g20730R,354
BraA03g20740R,2168
BraA03g20750R,2528
BraA03g20760R,5391
BraA03g20770R,3586
BraA03g20780R,1897
BraA03g20790R,1962
BraA03g20800R,1659
BraA03g20810R,1275
BraA03g20820R,2048
BraA03g20830R,2448
BraA03g20840R,2051
BraA03g20850R,9511
BraA03g20860R,2420
BraA03g20870R,5383
BraA03g20880R,1029
BraA03g20890R,345
BraA03g20900R,1487
BraA03g20910R,1114
BraA03g20920R,2543
BraA03g20930R,2753
BraA03g20940R,2602
BraA03g20950R,3979
BraA03g20960R,2517
BraA03g20970R,4161
BraA03g20980R,370
BraA03g20990R,1485
BraA03g21000R,2457
BraA03g21010R,1440
BraA03g21020R,3048
BraA03g21030R,982
BraA03g21040R,1287
BraA03g21050R,1658
BraA03g21060R,1575
BraA03g21070R,3246
BraA03g21080R,2784
BraA03g21090R,1612
BraA03g21100R,1613
BraA03g21110R,519
BraA03g21120R,856
BraA03g21130R,2092
BraA03g21140R,5501
BraA03g21150R,1196
BraA03g21160R,576
BraA03g21170R,2890
BraA03g21180R,306
BraA03g21190R,1119
BraA03g21200R,1900
BraA03g21210R,2350
BraA03g21220R,3426
BraA03g21230R,4001
BraA03g21240R,2382
BraA03g21250R,1667
BraA03g21260R,8045
BraA03g21270R,2553
BraA03g21280R,1966
BraA03g21290R,2340
BraA03g21300R,1052
BraA03g21310R,1527
BraA03g21320R,1621
BraA03g21330R,954
BraA03g21340R,5627
BraA03g21350R,1533
BraA03g21360R,2521
BraA03g21370R,3376
BraA03g21380R,2612
BraA03g21390R,612
BraA03g21400R,2971
BraA03g21410R,2458
BraA03g21420R,964
BraA03g21430R,3445
BraA03g21440R,432
BraA03g21450R,3283
BraA03g21460R,1477
BraA03g21470R,3058
BraA03g21480R,11000
BraA03g21490R,204
BraA03g21500R,748
BraA03g21510R,2397
BraA03g21520R,2543
BraA03g21530R,2815
BraA03g21540R,1883
BraA03g21550R,2685
BraA03g21560R,2693
BraA03g21570R,2086
BraA03g21580R,10823
BraA03g21590R,435
BraA03g21600R,1082
BraA03g21610R,2472
BraA03g21620R,1636
BraA03g21630R,1404
BraA03g21640R,1901
BraA03g21650R,3055
BraA03g21660R,2349
BraA03g21670R,2901
BraA03g21680R,1261
BraA03g21690R,12194
BraA03g21700R,2879
BraA03g21710R,6600
BraA03g21720R,4203
BraA03g21730R,3333
BraA03g21740R,5258
BraA03g21750R,2739
BraA03g21760R,747
BraA03g21770R,5040
BraA03g21780R,2380
BraA03g21790R,2333
BraA03g21800R,1029
BraA03g21810R,2060
BraA03g21820R,1323
BraA03g21830R,1825
BraA03g21840R,297
BraA03g21850R,2114
BraA03g21860R,336
BraA03g21870R,2636
BraA03g21880R,1828
BraA03g21890R,1787
BraA03g21900R,1623
BraA03g21910R,3807
BraA03g21920R,3720
BraA03g21930R,1959
BraA03g21940R,3436
BraA03g21950R,1055
BraA03g21960R,1328
BraA03g21970R,9248
BraA03g21980R,2096
BraA03g21990R,534
BraA03g22000R,1671
BraA03g22010R,2100
BraA03g22020R,1253
BraA03g22030R,2325
BraA03g22040R,351
BraA03g22050R,4421
BraA03g22060R,4197
BraA03g22070R,255
BraA03g22080R,4742
BraA03g22090R,2062
BraA03g22100R,783
BraA03g22110R,2410
BraA03g22120R,2791
BraA03g22130R,3005
BraA03g22140R,1872
BraA03g22150R,3305
BraA03g22160R,351
BraA03g22170R,1762
BraA03g22180R,1786
BraA03g22190R,1825
BraA03g22200R,1186
BraA03g22210R,2192
BraA03g22220R,4263
BraA03g22230R,5704
BraA03g22240R,4097
BraA03g22250R,2935
BraA03g22260R,2319
BraA03g22270R,7255
BraA03g22280R,219
BraA03g22290R,3067
BraA03g22300R,1521
BraA03g22310R,5307
BraA03g22320R,1844
BraA03g22330R,1955
BraA03g22340R,1492
BraA03g22350R,2644
BraA03g22360R,982
BraA03g22370R,2523
BraA03g22380R,1025
BraA03g22390R,4654
BraA03g22400R,1527
BraA03g22410R,644
BraA03g22420R,1407
BraA03g22430R,1292
BraA03g22440R,15843
BraA03g22450R,1434
BraA03g22460R,1704
BraA03g22470R,1259
BraA03g22480R,7496
BraA03g22490R,1976
BraA03g22500R,7393
BraA03g22510R,851
BraA03g22520R,375
BraA03g22530R,1126
BraA03g22540R,2548
BraA03g22550R,3507
BraA03g22560R,3202
BraA03g22570R,10053
BraA03g22580R,1172
BraA03g22590R,6023
BraA03g22600R,207
BraA03g22610R,1676
BraA03g22620R,251
BraA03g22630R,8675
BraA03g22640R,5180
BraA03g22650R,4431
BraA03g22660R,1806
BraA03g22670R,624
BraA03g22680R,288
BraA03g22690R,2117
BraA03g22700R,3606
BraA03g22710R,1465
BraA03g22720R,5838
BraA03g22730R,414
BraA03g22740R,1599
BraA03g22750R,3057
BraA03g22760R,2713
BraA03g22770R,2143
BraA03g22780R,2114
BraA03g22790R,13517
BraA03g22800R,879
BraA03g22810R,944
BraA03g22820R,429
BraA03g22830R,477
BraA03g22840R,453
BraA03g22850R,4573
BraA03g22860R,1324
BraA03g22870R,729
BraA03g22880R,2638
BraA03g22890R,2315
BraA03g22900R,2182
BraA03g22910R,3148
BraA03g22920R,969
BraA03g22930R,2104
BraA03g22940R,1646
BraA03g22950R,1444
BraA03g22960R,362
BraA03g22970R,3103
BraA03g22980R,2249
BraA03g22990R,1108
BraA03g23000R,4001
BraA03g23010R,1028
BraA03g23020R,472
BraA03g23030R,249
BraA03g23040R,2298
BraA03g23050R,249
BraA03g23060R,1118
BraA03g23070R,1420
BraA03g23080R,3507
BraA03g23090R,924
BraA03g23100R,1969
BraA03g23110R,2220
BraA03g23120R,2198
BraA03g23130R,1962
BraA03g23140R,1277
BraA03g23150R,396
BraA03g23160R,2732
BraA03g23170R,4754
BraA03g23180R,960
BraA03g23190R,2565
BraA03g23200R,1245
BraA03g23210R,2577
BraA03g23220R,3776
BraA03g23230R,1308
BraA03g23240R,2881
BraA03g23250R,619
BraA03g23260R,673
BraA03g23270R,1050
BraA03g23280R,852
BraA03g23290R,6023
BraA03g23300R,920
BraA03g23310R,2076
BraA03g23320R,3862
BraA03g23330R,3414
BraA03g23340R,543
BraA03g23350R,2413
BraA03g23360R,945
BraA03g23370R,3797
BraA03g23380R,5215
BraA03g23390R,1907
BraA03g23400R,609
BraA03g23410R,2566
BraA03g23420R,919
BraA03g23430R,1008
BraA03g23440R,3414
BraA03g23450R,2734
BraA03g23460R,12227
BraA03g23470R,2737
BraA03g23480R,2345
BraA03g23490R,258
BraA03g23500R,1442
BraA03g23510R,2162
BraA03g23520R,1719
BraA03g23530R,907
BraA03g23540R,1607
BraA03g23550R,2390
BraA03g23560R,2566
BraA03g23570R,843
BraA03g23580R,713
BraA03g23590R,4716
BraA03g23600R,3410
BraA03g23610R,2260
BraA03g23620R,962
BraA03g23630R,2583
BraA03g23640R,1017
BraA03g23650R,4177
BraA03g23660R,399
BraA03g23670R,2129
BraA03g23680R,2002
BraA03g23690R,357
BraA03g23700R,811
BraA03g23710R,1170
BraA03g23720R,2517
BraA03g23730R,927
BraA03g23740R,1586
BraA03g23750R,2286
BraA03g23760R,651
BraA03g23770R,452
BraA03g23780R,1600
BraA03g23790R,2176
BraA03g23800R,2989
BraA03g23810R,3741
BraA03g23820R,2058
BraA03g23830R,3176
BraA03g23840R,1590
BraA03g23850R,4793
BraA03g23860R,1481
BraA03g23870R,6163
BraA03g23880R,3312
BraA03g23890R,3538
BraA03g23900R,591
BraA03g23910R,570
BraA03g23920R,6363
BraA03g23930R,3261
BraA03g23940R,2681
BraA03g23950R,6756
BraA03g23960R,2522
BraA03g23970R,1308
BraA03g23980R,4140
BraA03g23990R,1632
BraA03g24000R,741
BraA03g24010R,471
BraA03g24020R,9890
BraA03g24030R,7234
BraA03g24040R,330
BraA03g24050R,426
BraA03g24060R,417
BraA03g24070R,6297
BraA03g24080R,1030
BraA03g24090R,2616
BraA03g24100R,2984
BraA03g24110R,3696
BraA03g24120R,1017
BraA03g24130R,2680
BraA03g24140R,4635
BraA03g24150R,1840
BraA03g24160R,2783
BraA03g24170R,576
BraA03g24180R,2402
BraA03g24190R,312
BraA03g24200R,225
BraA03g24210R,465
BraA03g24220R,1031
BraA03g24230R,1353
BraA03g24240R,2030
BraA03g24250R,1195
BraA03g24260R,1977
BraA03g24270R,2661
BraA03g24280R,1684
BraA03g24290R,1548
BraA03g24300R,1371
BraA03g24310R,2381
BraA03g24320R,6004
BraA03g24330R,1461
BraA03g24340R,2036
BraA03g24350R,5406
BraA03g24360R,4111
BraA03g24370R,1883
BraA03g24380R,1206
BraA03g24390R,375
BraA03g24400R,7557
BraA03g24410R,2901
BraA03g24420R,8161
BraA03g24430R,1900
BraA03g24440R,1078
BraA03g24450R,828
BraA03g24460R,2805
BraA03g24470R,623
BraA03g24480R,1120
BraA03g24490R,2291
BraA03g24500R,465
BraA03g24510R,2310
BraA03g24520R,2280
BraA03g24530R,2692
BraA03g24540R,3796
BraA03g24550R,480
BraA03g24560R,1925
BraA03g24570R,1197
BraA03g24580R,1413
BraA03g24590R,1874
BraA03g24600R,2982
BraA03g24610R,492
BraA03g24620R,1997
BraA03g24630R,840
BraA03g24640R,3178
BraA03g24650R,5340
BraA03g24660R,7039
BraA03g24670R,1092
BraA03g24680R,1833
BraA03g24690R,771
BraA03g24700R,2057
BraA03g24710R,1716
BraA03g24720R,2376
BraA03g24730R,1643
BraA03g24740R,2448
BraA03g24750R,1517
BraA03g24760R,2824
BraA03g24770R,4597
BraA03g24780R,852
BraA03g24790R,2773
BraA03g24800R,5432
BraA03g24810R,1843
BraA03g24820R,3347
BraA03g24830R,3197
BraA03g24840R,1916
BraA03g24850R,2583
BraA03g24860R,2534
BraA03g24870R,1018
BraA03g24880R,2484
BraA03g24890R,1768
BraA03g24900R,3789
BraA03g24910R,915
BraA03g24920R,2568
BraA03g24930R,1778
BraA03g24940R,2415
BraA03g24950R,2556
BraA03g24960R,3865
BraA03g24970R,460
BraA03g24980R,3446
BraA03g24990R,4343
BraA03g25000R,5942
BraA03g25010R,16241
BraA03g25020R,2908
BraA03g25030R,3464
BraA03g25040R,5223
BraA03g25050R,1236
BraA03g25060R,1872
BraA03g25070R,2695
BraA03g25080R,1501
BraA03g25090R,729
BraA03g25100R,2565
BraA03g25110R,7200
BraA03g25120R,624
BraA03g25130R,5184
BraA03g25140R,5109
BraA03g25150R,1988
BraA03g25160R,2538
BraA03g25170R,843
BraA03g25180R,714
BraA03g25190R,9338
BraA03g25200R,1471
BraA03g25210R,580
BraA03g25220R,834
BraA03g25230R,3126
BraA03g25240R,1609
BraA03g25250R,1915
BraA03g25260R,2149
BraA03g25270R,836
BraA03g25280R,790
BraA03g25290R,2727
BraA03g25300R,6165
BraA03g25310R,1932
BraA03g25320R,4950
BraA03g25330R,1359
BraA03g25340R,1231
BraA03g25350R,2467
BraA03g25360R,2102
BraA03g25370R,3400
BraA03g25380R,2753
BraA03g25390R,5187
BraA03g25400R,7492
BraA03g25410R,1338
BraA03g25420R,1685
BraA03g25430R,935
BraA03g25440R,1212
BraA03g25450R,753
BraA03g25460R,14186
BraA03g25470R,792
BraA03g25480R,3047
BraA03g25490R,876
BraA03g25500R,705
BraA03g25510R,2921
BraA03g25520R,3478
BraA03g25530R,5232
BraA03g25540R,1316
BraA03g25550R,4664
BraA03g25560R,1297
BraA03g25570R,2229
BraA03g25580R,3291
BraA03g25590R,2725
BraA03g25600R,2572
BraA03g25610R,2584
BraA03g25620R,771
BraA03g25630R,1551
BraA03g25640R,3862
BraA03g25650R,342
BraA03g25660R,6532
BraA03g25670R,2342
BraA03g25680R,1963
BraA03g25690R,4863
BraA03g25700R,4427
BraA03g25710R,3474
BraA03g25720R,2151
BraA03g25730R,1168
BraA03g25740R,7078
BraA03g25750R,3096
BraA03g25760R,3892
BraA03g25770R,2511
BraA03g25780R,2130
BraA03g25790R,1784
BraA03g25800R,869
BraA03g25810R,1628
BraA03g25820R,3160
BraA03g25830R,934
BraA03g25840R,1818
BraA03g25850R,1863
BraA03g25860R,3733
BraA03g25870R,2826
BraA03g25880R,1983
BraA03g25890R,2129
BraA03g25900R,1049
BraA03g25910R,4830
BraA03g25920R,4144
BraA03g25930R,2876
BraA03g25940R,1500
BraA03g25950R,2061
BraA03g25960R,1273
BraA03g25970R,1408
BraA03g25980R,5445
BraA03g25990R,1862
BraA03g26000R,1787
BraA03g26010R,3142
BraA03g26020R,2776
BraA03g26030R,2851
BraA03g26040R,1659
BraA03g26050R,2827
BraA03g26060R,1500
BraA03g26070R,2793
BraA03g26080R,222
BraA03g26090R,1729
BraA03g26100R,1122
BraA03g26110R,1255
BraA03g26120R,2026
BraA03g26130R,1671
BraA03g26140R,4011
BraA03g26150R,849
BraA03g26160R,1715
BraA03g26170R,1863
BraA03g26180R,1282
BraA03g26190R,2064
BraA03g26200R,2534
BraA03g26210R,2022
BraA03g26220R,5202
BraA03g26230R,2046
BraA03g26240R,868
BraA03g26250R,4963
BraA03g26260R,4995
BraA03g26270R,381
BraA03g26280R,711
BraA03g26290R,1895
BraA03g26300R,363
BraA03g26310R,1020
BraA03g26320R,4878
BraA03g26330R,2750
BraA03g26340R,369
BraA03g26350R,1050
BraA03g26360R,1210
BraA03g26370R,2741
BraA03g26380R,1211
BraA03g26390R,1395
BraA03g26400R,3609
BraA03g26410R,297
BraA03g26420R,2412
BraA03g26430R,2869
BraA03g26440R,917
BraA03g26450R,1519
BraA03g26460R,1297
BraA03g26470R,9502
BraA03g26480R,7354
BraA03g26490R,1745
BraA03g26500R,705
BraA03g26510R,3247
BraA03g26520R,1808
BraA03g26530R,1874
BraA03g26540R,3235
BraA03g26550R,722
BraA03g26560R,1020
BraA03g26570R,3548
BraA03g26580R,378
BraA03g26590R,1446
BraA03g26600R,3411
BraA03g26610R,1614
BraA03g26620R,417
BraA03g26630R,657
BraA03g26640R,1786
BraA03g26650R,4244
BraA03g26660R,2213
BraA03g26670R,3617
BraA03g26680R,6214
BraA03g26690R,730
BraA03g26700R,1361
BraA03g26710R,2868
BraA03g26720R,774
BraA03g26730R,2771
BraA03g26740R,594
BraA03g26750R,1690
BraA03g26760R,852
BraA03g26770R,551
BraA03g26780R,2564
BraA03g26790R,2699
BraA03g26800R,1580
BraA03g26810R,1588
BraA03g26820R,7076
BraA03g26830R,1277
BraA03g26840R,1780
BraA03g26850R,5397
BraA03g26860R,4797
BraA03g26870R,2555
BraA03g26880R,927
BraA03g26890R,2329
BraA03g26900R,3498
BraA03g26910R,4605
BraA03g26920R,1823
BraA03g26930R,1035
BraA03g26940R,2754
BraA03g26950R,258
BraA03g26960R,1935
BraA03g26970R,3290
BraA03g26980R,1076
BraA03g26990R,228
BraA03g27000R,3343
BraA03g27010R,1113
BraA03g27020R,6459
BraA03g27030R,2049
BraA03g27040R,4301
BraA03g27050R,4484
BraA03g27060R,5160
BraA03g27070R,1098
BraA03g27080R,721
BraA03g27090R,377
BraA03g27100R,3618
BraA03g27110R,1983
BraA03g27120R,894
BraA03g27130R,1506
BraA03g27140R,2950
BraA03g27150R,3538
BraA03g27160R,303
BraA03g27170R,2697
BraA03g27180R,2580
BraA03g27190R,3013
BraA03g27200R,1345
BraA03g27210R,4596
BraA03g27220R,11501
BraA03g27230R,3464
BraA03g27240R,992
BraA03g27250R,2011
BraA03g27260R,4283
BraA03g27270R,1017
BraA03g27280R,5628
BraA03g27290R,3406
BraA03g27300R,1873
BraA03g27310R,1825
BraA03g27320R,894
BraA03g27330R,2815
BraA03g27340R,2761
BraA03g27350R,4414
BraA03g27360R,4382
BraA03g27370R,1468
BraA03g27380R,3950
BraA03g27390R,4091
BraA03g27400R,4725
BraA03g27410R,2255
BraA03g27420R,2798
BraA03g27430R,207
BraA03g27440R,4191
BraA03g27450R,11301
BraA03g27460R,5052
BraA03g27470R,498
BraA03g27480R,3278
BraA03g27490R,1041
BraA03g27500R,5262
BraA03g27510R,334
BraA03g27520R,516
BraA03g27530R,342
BraA03g27540R,402
BraA03g27550R,402
BraA03g27560R,384
BraA03g27570R,276
BraA03g27580R,204
BraA03g27590R,3266
BraA03g27600R,1470
BraA03g27610R,545
BraA03g27620R,1348
BraA03g27630R,3305
BraA03g27640R,393
BraA03g27650R,2174
BraA03g27660R,1748
BraA03g27670R,672
BraA03g27680R,609
BraA03g27690R,1951
BraA03g27700R,342
BraA03g27710R,1965
BraA03g27720R,4962
BraA03g27730R,888
BraA03g27740R,1069
BraA03g27750R,5047
BraA03g27760R,546
BraA03g27770R,4820
BraA03g27780R,699
BraA03g27790R,3077
BraA03g27800R,3633
BraA03g27810R,1197
BraA03g27820R,2866
BraA03g27830R,3144
BraA03g27840R,27287
BraA03g27850R,16053
BraA03g27860R,727
BraA03g27870R,2422
BraA03g27880R,441
BraA03g27890R,255
BraA03g27900R,1353
BraA03g27910R,4912
BraA03g27920R,348
BraA03g27930R,300
BraA03g27940R,1591
BraA03g27950R,4007
BraA03g27960R,5913
BraA03g27970R,1221
BraA03g27980R,6935
BraA03g27990R,5578
BraA03g28000R,5456
BraA03g28010R,2256
BraA03g28020R,1144
BraA03g28030R,850
BraA03g28040R,486
BraA03g28050R,2394
BraA03g28060R,2533
BraA03g28070R,1024
BraA03g28080R,1361
BraA03g28090R,1088
BraA03g28100R,1289
BraA03g28110R,2303
BraA03g28120R,994
BraA03g28130R,5313
BraA03g28140R,1173
BraA03g28150R,7777
BraA03g28160R,1725
BraA03g28170R,1950
BraA03g28180R,1515
BraA03g28190R,4629
BraA03g28200R,776
BraA03g28210R,1094
BraA03g28220R,354
BraA03g28230R,1994
BraA03g28240R,383
BraA03g28250R,795
BraA03g28260R,2505
BraA03g28270R,465
BraA03g28280R,1473
BraA03g28290R,4105
BraA03g28300R,1723
BraA03g28310R,1395
BraA03g28320R,2871
BraA03g28330R,2353
BraA03g28340R,1425
BraA03g28350R,2741
BraA03g28360R,2622
BraA03g28370R,285
BraA03g28380R,5463
BraA03g28390R,2531
BraA03g28400R,4027
BraA03g28410R,2676
BraA03g28420R,1672
BraA03g28430R,1242
BraA03g28440R,969
BraA03g28450R,3014
BraA03g28460R,2813
BraA03g28470R,4075
BraA03g28480R,1487
BraA03g28490R,2929
BraA03g28500R,8585
BraA03g28510R,1443
BraA03g28520R,1738
BraA03g28530R,2391
BraA03g28540R,18642
BraA03g28550R,1472
BraA03g28560R,9327
BraA03g28570R,1351
BraA03g28580R,944
BraA03g28590R,324
BraA03g28600R,4374
BraA03g28610R,14182
BraA03g28620R,7775
BraA03g28630R,1772
BraA03g28640R,2736
BraA03g28650R,2728
BraA03g28660R,4882
BraA03g28670R,1477
BraA03g28680R,1479
BraA03g28690R,2339
BraA03g28700R,7426
BraA03g28710R,3279
BraA03g28720R,9598
BraA03g28730R,2560
BraA03g28740R,4136
BraA03g28750R,820
BraA03g28760R,2424
BraA03g28770R,495
BraA03g28780R,549
BraA03g28790R,1419
BraA03g28800R,537
BraA03g28810R,525
BraA03g28820R,3063
BraA03g28830R,342
BraA03g28840R,426
BraA03g28850R,2577
BraA03g28860R,5315
BraA03g28870R,497
BraA03g28880R,4895
BraA03g28890R,1683
BraA03g28900R,2429
BraA03g28910R,3994
BraA03g28920R,1970
BraA03g28930R,7389
BraA03g28940R,4055
BraA03g28950R,3494
BraA03g28960R,426
BraA03g28970R,466
BraA03g28980R,1117
BraA03g28990R,3914
BraA03g29000R,1943
BraA03g29010R,2734
BraA03g29020R,964
BraA03g29030R,2301
BraA03g29040R,1528
BraA03g29050R,10913
BraA03g29060R,539
BraA03g29070R,2323
BraA03g29080R,1559
BraA03g29090R,369
BraA03g29100R,2254
BraA03g29110R,2369
BraA03g29120R,1953
BraA03g29130R,1182
BraA03g29140R,6370
BraA03g29150R,2163
BraA03g29160R,333
BraA03g29170R,1637
BraA03g29180R,5209
BraA03g29190R,1330
BraA03g29200R,381
BraA03g29210R,2324
BraA03g29220R,9337
BraA03g29230R,690
BraA03g29240R,2665
BraA03g29250R,1942
BraA03g29260R,358
BraA03g29270R,574
BraA03g29280R,3635
BraA03g29290R,2450
BraA03g29300R,2874
BraA03g29310R,2841
BraA03g29320R,323
BraA03g29330R,2075
BraA03g29340R,2996
BraA03g29350R,7596
BraA03g29360R,2088
BraA03g29370R,874
BraA03g29380R,4420
BraA03g29390R,1495
BraA03g29400R,5814
BraA03g29410R,890
BraA03g29420R,1437
BraA03g29430R,3333
BraA03g29440R,3004
BraA03g29450R,1723
BraA03g29460R,513
BraA03g29470R,2502
BraA03g29480R,2079
BraA03g29490R,2138
BraA03g29500R,4899
BraA03g29510R,2017
BraA03g29520R,3296
BraA03g29530R,5860
BraA03g29540R,2243
BraA03g29550R,3759
BraA03g29560R,2302
BraA03g29570R,1800
BraA03g29580R,1696
BraA03g29590R,2994
BraA03g29600R,3683
BraA03g29610R,5090
BraA03g29620R,3314
BraA03g29630R,3397
BraA03g29640R,3149
BraA03g29650R,375
BraA03g29660R,213
BraA03g29670R,568
BraA03g29680R,382
BraA03g29690R,584
BraA03g29700R,3819
BraA03g29710R,1763
BraA03g29720R,4168
BraA03g29730R,5090
BraA03g29740R,2396
BraA03g29750R,4854
BraA03g29760R,3581
BraA03g29770R,9937
BraA03g29780R,4699
BraA03g29790R,1694
BraA03g29800R,3730
BraA03g29810R,2471
BraA03g29820R,353
BraA03g29830R,1755
BraA03g29840R,561
BraA03g29850R,3416
BraA03g29860R,414
BraA03g29870R,2484
BraA03g29880R,7079
BraA03g29890R,318
BraA03g29900R,9658
BraA03g29910R,4701
BraA03g29920R,1582
BraA03g29930R,4240
BraA03g29940R,4049
BraA03g29950R,1218
BraA03g29960R,908
BraA03g29970R,276
BraA03g29980R,3738
BraA03g29990R,2992
BraA03g30000R,411
BraA03g30010R,3738
BraA03g30020R,3216
BraA03g30030R,1986
BraA03g30040R,3568
BraA03g30050R,4981
BraA03g30060R,3663
BraA03g30070R,794
BraA03g30080R,6244
BraA03g30090R,833
BraA03g30100R,5007
BraA03g30110R,724
BraA03g30120R,918
BraA03g30130R,1065
BraA03g30140R,1420
BraA03g30150R,7272
BraA03g30160R,2172
BraA03g30170R,1971
BraA03g30180R,2315
BraA03g30190R,1833
BraA03g30200R,600
BraA03g30210R,238
BraA03g30220R,389
BraA03g30230R,1667
BraA03g30240R,13383
BraA03g30250R,951
BraA03g30260R,5218
BraA03g30270R,5466
BraA03g30280R,957
BraA03g30290R,2058
BraA03g30300R,1439
BraA03g30310R,1059
BraA03g30320R,2089
BraA03g30330R,822
BraA03g30340R,2116
BraA03g30350R,1054
BraA03g30360R,4449
BraA03g30370R,2681
BraA03g30380R,1059
BraA03g30390R,2359
BraA03g30400R,2437
BraA03g30410R,1065
BraA03g30420R,3017
BraA03g30430R,5546
BraA03g30440R,11650
BraA03g30450R,1032
BraA03g30460R,1140
BraA03g30470R,1869
BraA03g30480R,3018
BraA03g30490R,1865
BraA03g30500R,688
BraA03g30510R,1959
BraA03g30520R,4140
BraA03g30530R,2173
BraA03g30540R,4713
BraA03g30550R,1722
BraA03g30560R,1186
BraA03g30570R,1439
BraA03g30580R,1214
BraA03g30590R,1318
BraA03g30600R,1243
BraA03g30610R,3172
BraA03g30620R,2039
BraA03g30630R,1695
BraA03g30640R,672
BraA03g30650R,2733
BraA03g30660R,3220
BraA03g30670R,3246
BraA03g30680R,4176
BraA03g30690R,1301
BraA03g30700R,2236
BraA03g30710R,2229
BraA03g30720R,5477
BraA03g30730R,1107
BraA03g30740R,2010
BraA03g30750R,1498
BraA03g30760R,1212
BraA03g30770R,2376
BraA03g30780R,2528
BraA03g30790R,3495
BraA03g30800R,2233
BraA03g30810R,393
BraA03g30820R,800
BraA03g30830R,790
BraA03g30840R,252
BraA03g30850R,2323
BraA03g30860R,1672
BraA03g30870R,969
BraA03g30880R,3958
BraA03g30890R,5157
BraA03g30900R,660
BraA03g30910R,2222
BraA03g30920R,5257
BraA03g30930R,1242
BraA03g30940R,201
BraA03g30950R,201
BraA03g30960R,186
BraA03g30970R,1622
BraA03g30980R,3145
BraA03g30990R,1319
BraA03g31000R,2942
BraA03g31010R,4086
BraA03g31020R,4756
BraA03g31030R,4744
BraA03g31040R,507
BraA03g31050R,704
BraA03g31060R,4313
BraA03g31070R,4623
BraA03g31080R,3469
BraA03g31090R,1833
BraA03g31100R,2186
BraA03g31110R,3002
BraA03g31120R,876
BraA03g31130R,441
